countries Of Organisation,Country of Origin,Count,Zero% Club,Articles/Negative,Journalist Name,Photo,Biases (per Kutniti),Owner Name (Highest Shareholder),Owner Photo,Organization
USA,India,9,Yes,89.65%,Anupreeta Das,https://imgur.com/a/tZjQQz7,Exclusively negative,Greg Davis,N/A,The New York Times
UK,UK,2,Yes,95%,H. Ellis-Peterson,https://imgur.com/a/t96SSae,Systematic negative,The Scott Trust Limited,N/A,The Guardian
USA,India,9,Yes,93%,Karishma Mehrotra,https://imgur.com/a/8h2olBz,Consistently negative,Jeff Bezos,N/A,Washington Post
Belgium,Netherlands,1,Yes,83%,Lisa Dupuy,https://imgur.com/a/wRhygWd,One-sided negative,Thomas Leysen,N/A,Mediahuis
USA,India,9,Yes,High volume,Hari Kumar,N/A,NYT Delhi cluster,The Vanguard Group,N/A,The New York Times
USA,India,9,Yes,High volume,Pragati KB,N/A,Negative reporting,The Vanguard Group,N/A,The New York Times
USA,India,9,Yes,High volume,Showkat Nanda,N/A,Negative coverage,The Vanguard Group,N/A,The New York Times
USA,India,9,Yes,High volume,Suhasini Raj,N/A,Recurring negative,The Vanguard Group,N/A,The New York Times
USA/UK,India,9,Yes,Photo essays,Atul Loke,N/A,Visual neg. framing,Vanguard / Scott Trust,N/A,Freelance
USA,India,9,Yes,Not specified,Vidya Viswanathan,N/A,Climate/Env neg. tilt,Vox Media / Emerson,N/A,Various Outlets
USA,India,9,Yes,95%,Andy Mukherjee,https://imgur.com/a/NKklgAx,"Systemic omission of Indian growth/tech; focus on ""hit jobs"" against Indian conglomerates.",Michael Bloomberg,N/A,Bloomberg Opinion
Australia,India,1,Yes,91%,Meghna Bali,https://imgur.com/a/XAX7Wxu,"Selective outrage on social/religious issues; systematic omission of Indian tech and growth.",Australian Government,N/A,Australian Broadcasting Corporation (ABC)
Qatar,India,1,Yes,90%,Yashraj Sharma,https://imgur.com/a/3vae8SW,"Focuses exclusively on persecution issues; systematic omission of positive Indian news",Hamad bin Khalifa Al Thani,N/A,Al Jazeera
Germany,India,1,Yes,91%,Adil Bhat,https://imgur.com/oRS8Krc,"Focuses on anti-India narratives including lack of freedom and poverty; systematic omission of positive developments.",German Government,N/A,Deutsche Welle (DW)
UK,India,3,Yes,70%,Shivam Patel,https://imgur.com/a/PydPKLb,Focuses on Khalistan,David Thomson,N/A,Reuters
